external_activity_id,external_compound_id,preferred_name,endpoint_type,endpoint_value,endpoint_relation,unit,converted_value_uM,p_activity,organism,strain,target_name,target_gene,target_organism,assay_type,assay_method,assay_context,serum_or_protein,medium,duration_h,temperature_c,endpoint_definition,target_confidence,mechanism_confidence,activity_relevance_tier,source_id,source_database,source_reference,source_quote,curation_status,comments
EXT-ACT-000214,EXT-FKS-0052,CHEMBL405670,IC50,1.0,=,nM,0.001,9.0,,,"1,3-beta-glucan synthase",,Candida glabrata,biochemical,"Inhibition of 1,3-beta-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000151,ChEMBL,CHEMBL1130502;Bioorg Med Chem Lett 1997;CHEMBL615378,"Inhibition of 1,3-beta-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL615378_offset_0.json.
EXT-ACT-000215,EXT-FKS-0155,CHEMBL437250,IC50,50.0,=,nM,0.05,7.30103,,,"1,3-beta-glucan synthase",,Candida glabrata,biochemical,"Inhibition of 1,3-beta-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000151,ChEMBL,CHEMBL1130502;Bioorg Med Chem Lett 1997;CHEMBL615378,"Inhibition of 1,3-beta-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL615378_offset_0.json.
EXT-ACT-000216,EXT-FKS-0153,CHEMBL428614,IC50,15.0,=,nM,0.015,7.823909,,,"1,3-beta-glucan synthase",,Candida glabrata,biochemical,"Inhibition of 1,3-beta-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000151,ChEMBL,CHEMBL1130502;Bioorg Med Chem Lett 1997;CHEMBL615378,"Inhibition of 1,3-beta-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL615378_offset_0.json.
EXT-ACT-000217,EXT-FKS-0157,CHEMBL438381,IC50,30.0,=,nM,0.03,7.522879,,,"1,3-beta-glucan synthase",,Candida glabrata,biochemical,"Inhibition of 1,3-beta-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000151,ChEMBL,CHEMBL1130502;Bioorg Med Chem Lett 1997;CHEMBL615378,"Inhibition of 1,3-beta-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL615378_offset_0.json.
EXT-ACT-000218,EXT-FKS-0129,CHEMBL266048,IC50,10.0,=,nM,0.01,8.0,,,"1,3-beta-glucan synthase",,Candida glabrata,biochemical,"Inhibition of 1,3-beta-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000151,ChEMBL,CHEMBL1130502;Bioorg Med Chem Lett 1997;CHEMBL615378,"Inhibition of 1,3-beta-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL615378_offset_0.json.
EXT-ACT-000219,EXT-FKS-0128,CHEMBL265871,IC50,4.0,=,nM,0.004,8.39794,,,"1,3-beta-glucan synthase",,Candida glabrata,biochemical,"Inhibition of 1,3-beta-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000151,ChEMBL,CHEMBL1130502;Bioorg Med Chem Lett 1997;CHEMBL615378,"Inhibition of 1,3-beta-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL615378_offset_0.json.
EXT-ACT-000220,EXT-FKS-0138,CHEMBL385234,IC50,6.0,=,nM,0.006,8.221849,,,"1,3-beta-glucan synthase",,Candida glabrata,biochemical,"Inhibition of 1,3-beta-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000151,ChEMBL,CHEMBL1130502;Bioorg Med Chem Lett 1997;CHEMBL615378,"Inhibition of 1,3-beta-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL615378_offset_0.json.
EXT-ACT-000221,EXT-FKS-0130,CHEMBL269275,IC50,300.0,=,nM,0.3,6.522879,,,"1,3-beta-glucan synthase",,Candida glabrata,biochemical,"Inhibition of 1,3-beta-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000151,ChEMBL,CHEMBL1130502;Bioorg Med Chem Lett 1997;CHEMBL615378,"Inhibition of 1,3-beta-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL615378_offset_0.json.
EXT-ACT-000222,EXT-FKS-0150,CHEMBL413521,IC50,3.0,=,nM,0.003,8.522879,,,"1,3-beta-glucan synthase",,Candida glabrata,biochemical,"Inhibition of 1,3-beta-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000151,ChEMBL,CHEMBL1130502;Bioorg Med Chem Lett 1997;CHEMBL615378,"Inhibition of 1,3-beta-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL615378_offset_0.json.
EXT-ACT-000223,EXT-FKS-0154,CHEMBL429520,IC50,25.0,=,nM,0.025,7.60206,,,"1,3-beta-glucan synthase",,Candida glabrata,biochemical,"Inhibition of 1,3-beta-glucan synthase",enzyme_assay,unknown,,,,,direct,direct_assay,direct_fks,EXTSRC-000151,ChEMBL,CHEMBL1130502;Bioorg Med Chem Lett 1997;CHEMBL615378,"Inhibition of 1,3-beta-glucan synthase",imported_candidate_needs_review,Rebuilt from cached ChEMBL file activity_by_assay_CHEMBL615378_offset_0.json.
