dataset_version,compound_source,compound_id,compound_name,smiles,rdkit_parse_ok,murcko_scaffold_smiles,ecfp4_on_bits,exact_mw_rdkit,clogp_rdkit,tpsa_rdkit,hbd_rdkit,hba_rdkit,rotb_rdkit,heavy_atom_count_rdkit,hetero_atom_count_rdkit,ring_count_rdkit,aromatic_ring_count_rdkit,fsp3_rdkit,formal_charge_rdkit,stereo_centers_assigned_rdkit,stereo_centers_unassigned_rdkit,descriptor_pc1,descriptor_pc2
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0155,CHEMBL437250,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](O)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCNC(=O)CCCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)C2CCN(C2)C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)C2CCCN2C(=O)CN1,100,1135.637642388,-3.114000000000002,423.31,16,18,24,80,26,4,1,0.7407407407407407,0,11,5,-3.141094,-1.404717
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0156,CHEMBL438185,CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@@H](O)Cc2ccc(O)c(/C=C/C(=O)OC)c2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,109,1116.5954432280002,-1.9643999999999957,397.12,13,17,22,79,25,4,1,0.6851851851851852,0,12,2,-2.68789,-0.725639
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0157,CHEMBL438381,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@@H](O)[C@@H](O)NC(=O)C2CN(C[C@@H]2O)C(=O)[C@H]([C@H](O)CCNC(=O)[C@@H](N)CN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)C2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)C2CCN(C2)C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)C2CCCN2C(=O)CN1,103,1136.6328913559998,-4.566900000000021,449.33,17,19,23,80,27,4,1,0.7358490566037735,0,12,5,-3.481332,-1.308913
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0158,CHEMBL438668,CCCCCCCCOc1ccc(NC(=O)[C@]2(O)C[C@@H](O)[C@@H](O)[C@H](OC(=O)/C=C/c3ccc(O)c(O)c3)C2)cc1,yes,O=C(/C=C/c1ccccc1)O[C@H]1CCCC(C(=O)Nc2ccccc2)C1,65,557.2624818279999,3.647500000000002,165.78,6,9,13,40,10,3,2,0.4666666666666667,0,4,0,2.337253,-0.700846
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0159,CHLOROGENIC ACID,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,yes,O=C(/C=C/c1ccccc1)OC1CCCCC1,45,354.09508215599993,-0.6459000000000001,164.75,6,8,4,25,9,2,1,0.375,0,4,0,3.123242,-1.547538
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0171,CHEMBL269311,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,95,1064.5641431,-3.3412999999999955,411.28,15,17,20,75,25,4,1,0.72,0,14,2,-2.665827,-0.783697
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0191,CHEMBL5414434,CC(=O)O[C@@H]1C[C@]23C4=CC[C@@]5(C)[C@@H]6C(=O)C[C@H](C(C)C)[C@@]6(C)CC[C@]5(C)[C@H]4CC[C@H]2[C@@](C)(COC3O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,yes,O=C1CCC2CCC3C(CC=C4[C@@H]3CC[C@H]3C5COC[C@@]43CC[C@@H]5O[C@H]3CCCCO3)[C@H]12,82,690.397912676,2.8784000000000023,172.21,5,11,5,49,11,7,0,0.8947368421052632,0,16,1,0.619714,-0.393825
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0192,CHEMBL5426159,CC(C)[C@@H](C)[C@@]1(C)CC[C@]2(C)[C@H]3CC[C@H]4[C@@]5(C)COC(O)[C@@]4(C[C@@H](O)[C@@H]5O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C3=CC[C@@]2(C)[C@@H]1C(=O)O,yes,C1=C2[C@H](CC[C@H]3C4COC[C@@]23CC[C@@H]4O[C@H]2CCCCO2)C2CCCCC2C1,76,666.3979126759999,2.4393,186.37,7,10,6,47,11,6,0,0.9166666666666666,0,16,1,0.597291,-0.968527
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0194,CHALCONE,O=C(/C=C/c1ccccc1)c1ccccc1,yes,O=C(/C=C/c1ccccc1)c1ccccc1,22,208.088815004,3.5827000000000018,17.07,0,1,3,16,1,2,2,0.0,0,0,0,6.046448,-0.703733
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0197,CHEMBL217306,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN(CC#N)CC#N)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,102,1128.606676608,-2.4774399999999948,419.01,14,19,23,80,26,4,1,0.7222222222222222,0,14,2,-3.049677,-0.754384
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0198,CHEMBL218395,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC#N)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,96,1046.553578416,-2.3030199999999863,391.9799999999999,14,17,19,74,24,4,1,0.72,0,14,2,-2.413673,-0.80073
papulacandin_external_fks_space_v0_1,external_fks_model_ready,EXT-FKS-0199,CHEMBL263950,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCNC(C)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,yes,O=C1CCCCNC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)CN1,97,1092.595443228,-2.690499999999993,397.29,15,17,21,77,25,4,1,0.7307692307692307,0,14,2,-2.722366,-0.808336
