chemotype,compound_id,compound_name,serum_active,label_source,confidence,detail
papulacandin,PAPU-0080,Fusacandin analog 6j,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0080,Fusacandin analog 6j,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0080,Fusacandin analog 6j,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0081,Fusacandin analog 6k,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0081,Fusacandin analog 6k,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0081,Fusacandin analog 6k,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0081,Fusacandin analog 6k,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0081,Fusacandin analog 6k,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0082,Fusacandin analog 6l,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0082,Fusacandin analog 6l,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0082,Fusacandin analog 6l,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =100.0 ug/mL
papulacandin,PAPU-0082,Fusacandin analog 6l,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =50.0 ug/mL
papulacandin,PAPU-0082,Fusacandin analog 6l,0,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC >100.0 ug/mL
papulacandin,PAPU-0083,Fusacandin analog 6m,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0083,Fusacandin analog 6m,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0083,Fusacandin analog 6m,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
