compound_id,compound_name,chemotype,organism,serum_tolerance,label_source,confidence,serum_shift,reference_id,direct_pair_evidence
PAPU-0082,Fusacandin analog 6l,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0082,Fusacandin analog 6l,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0083,Fusacandin analog 6m,papulacandin,Candida albicans,retained,direct_serum_pair,high,32.0513,PAPER-1996-YEUNG,self
PAPU-0083,Fusacandin analog 6m,papulacandin,Candida albicans,retained,direct_serum_pair,high,125.0,PAPER-1996-YEUNG,self
PAPU-0083,Fusacandin analog 6m,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0083,Fusacandin analog 6m,papulacandin,Candida albicans,retained,direct_serum_pair,high,32.0513,PAPER-1996-YEUNG,self
PAPU-0083,Fusacandin analog 6m,papulacandin,Candida albicans,retained,direct_serum_pair,high,64.1026,PAPER-1996-YEUNG,self
PAPU-0084,Fusacandin analog 6n,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0084,Fusacandin analog 6n,papulacandin,Candida albicans,retained,direct_serum_pair,high,8.0128,PAPER-1996-YEUNG,self
PAPU-0084,Fusacandin analog 6n,papulacandin,Candida albicans,retained,direct_serum_pair,high,8.0128,PAPER-1996-YEUNG,self
PAPU-0084,Fusacandin analog 6n,papulacandin,Candida albicans,retained,direct_serum_pair,high,8.0128,PAPER-1996-YEUNG,self
PAPU-0084,Fusacandin analog 6n,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0085,Fusacandin analog 6o,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0085,Fusacandin analog 6o,papulacandin,Candida albicans,retained,direct_serum_pair,high,32.0513,PAPER-1996-YEUNG,self
PAPU-0085,Fusacandin analog 6o,papulacandin,Candida albicans,retained,direct_serum_pair,high,8.0128,PAPER-1996-YEUNG,self
PAPU-0085,Fusacandin analog 6o,papulacandin,Candida albicans,retained,direct_serum_pair,high,32.0513,PAPER-1996-YEUNG,self
PAPU-0085,Fusacandin analog 6o,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0086,Fusacandin analog 6p,papulacandin,Candida albicans,retained,direct_serum_pair,high,8.0128,PAPER-1996-YEUNG,self
PAPU-0086,Fusacandin analog 6p,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0086,Fusacandin analog 6p,papulacandin,Candida albicans,retained,direct_serum_pair,high,8.0128,PAPER-1996-YEUNG,self
PAPU-0086,Fusacandin analog 6p,papulacandin,Candida albicans,retained,direct_serum_pair,high,32.0513,PAPER-1996-YEUNG,self
PAPU-0086,Fusacandin analog 6p,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0087,Fusacandin analog 6q,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0087,Fusacandin analog 6q,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0087,Fusacandin analog 6q,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0087,Fusacandin analog 6q,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0087,Fusacandin analog 6q,papulacandin,Candida albicans,lost,direct_serum_pair,high,,PAPER-1996-YEUNG,self
PAPU-0088,Fusacandin analog 6r,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0088,Fusacandin analog 6r,papulacandin,Candida albicans,retained,direct_serum_pair,high,16.0256,PAPER-1996-YEUNG,self
PAPU-0088,Fusacandin analog 6r,papulacandin,Candida albicans,retained,direct_serum_pair,high,4.0064,PAPER-1996-YEUNG,self
PAPU-0088,Fusacandin analog 6r,papulacandin,Candida albicans,retained,direct_serum_pair,high,8.0128,PAPER-1996-YEUNG,self
