chemotype,compound_id,compound_name,compound_class,organism,strain,reference_id,match_level,pairing_confidence,unit,serum_condition,free_mic,serum_mic,free_activity,serum_activity,serum_tolerance,serum_shift,serum_shift_meaningful,log10_serum_shift,intrinsic_potency_free_mic_uM,intrinsic_potency_pMIC,acyl_tail_type,acyl_tail_geometry
papulacandin,PAPU-0073,Fusacandin analog 6c,fusacandin_derivative,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,12.5,100.0,active,inactive,lost,8.0,False,0.9031,12.1773,4.9145,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0074,Fusacandin analog 6d,fusacandin_derivative,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,12.5,100.0,active,inactive,lost,8.0,False,0.9031,12.8022,4.8927,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0074,Fusacandin analog 6d,fusacandin_derivative,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,6.25,100.0,active,inactive,lost,16.0,False,1.2041,6.4011,5.1937,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0074,Fusacandin analog 6d,fusacandin_derivative,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,12.5,100.0,active,inactive,lost,8.0,False,0.9031,12.8022,4.8927,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0074,Fusacandin analog 6d,fusacandin_derivative,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,6.25,100.0,active,inactive,lost,16.0,False,1.2041,6.4011,5.1937,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0074,Fusacandin analog 6d,fusacandin_derivative,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,12.5,100.0,active,inactive,lost,8.0,False,0.9031,12.8022,4.8927,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0075,Fusacandin analog 6e,fusacandin_derivative,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,3.12,100.0,active,inactive,lost,32.0513,False,1.5058,3.0219,5.5197,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0075,Fusacandin analog 6e,fusacandin_derivative,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,100.0,active,inactive,lost,128.2051,False,2.1079,0.7555,6.1218,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0075,Fusacandin analog 6e,fusacandin_derivative,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,3.12,100.0,active,inactive,lost,32.0513,False,1.5058,3.0219,5.5197,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0075,Fusacandin analog 6e,fusacandin_derivative,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,100.0,active,inactive,lost,64.1026,False,1.8069,1.511,5.8207,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0075,Fusacandin analog 6e,fusacandin_derivative,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,100.0,active,inactive,lost,64.1026,False,1.8069,1.511,5.8207,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0076,Fusacandin analog 6f,fusacandin_derivative,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,3.12,50.0,active,active,retained,16.0256,True,1.2048,3.0397,5.5172,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0076,Fusacandin analog 6f,fusacandin_derivative,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,50.0,active,active,retained,64.1026,True,1.8069,0.7599,6.1192,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0076,Fusacandin analog 6f,fusacandin_derivative,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,50.0,active,active,retained,32.0513,True,1.5058,1.5199,5.8182,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0076,Fusacandin analog 6f,fusacandin_derivative,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,100.0,active,inactive,lost,128.2051,False,2.1079,0.7599,6.1192,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0076,Fusacandin analog 6f,fusacandin_derivative,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,3.12,25.0,active,active,retained,8.0128,True,0.9038,3.0397,5.5172,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0077,Fusacandin analog 6g,fusacandin_derivative,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,3.12,50.0,active,active,retained,16.0256,True,1.2048,3.0397,5.5172,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0077,Fusacandin analog 6g,fusacandin_derivative,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,3.12,50.0,active,active,retained,16.0256,True,1.2048,3.0397,5.5172,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0077,Fusacandin analog 6g,fusacandin_derivative,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,3.12,50.0,active,active,retained,16.0256,True,1.2048,3.0397,5.5172,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0077,Fusacandin analog 6g,fusacandin_derivative,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,50.0,active,active,retained,32.0513,True,1.5058,1.5199,5.8182,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0077,Fusacandin analog 6g,fusacandin_derivative,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,6.25,100.0,active,inactive,lost,16.0,False,1.2041,6.0892,5.2154,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0078,Fusacandin analog 6h,fusacandin_derivative,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,25.0,active,active,retained,16.0256,True,1.2048,1.4851,5.8282,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0078,Fusacandin analog 6h,fusacandin_derivative,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.39,25.0,active,active,retained,64.1026,True,1.8069,0.3713,6.4303,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0078,Fusacandin analog 6h,fusacandin_derivative,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.39,25.0,active,active,retained,64.1026,True,1.8069,0.3713,6.4303,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0078,Fusacandin analog 6h,fusacandin_derivative,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,25.0,active,active,retained,32.0513,True,1.5058,0.7426,6.1293,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0078,Fusacandin analog 6h,fusacandin_derivative,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,25.0,active,active,retained,16.0256,True,1.2048,1.4851,5.8282,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0079,Fusacandin analog 6i,fusacandin_derivative,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,3.12,50.0,active,active,retained,16.0256,True,1.2048,2.8985,5.5378,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0079,Fusacandin analog 6i,fusacandin_derivative,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,3.12,100.0,active,inactive,lost,32.0513,False,1.5058,2.8985,5.5378,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0079,Fusacandin analog 6i,fusacandin_derivative,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,3.12,50.0,active,active,retained,16.0256,True,1.2048,2.8985,5.5378,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0079,Fusacandin analog 6i,fusacandin_derivative,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,6.25,100.0,active,inactive,lost,16.0,False,1.2041,5.8063,5.2361,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0079,Fusacandin analog 6i,fusacandin_derivative,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,3.12,100.0,active,inactive,lost,32.0513,False,1.5058,2.8985,5.5378,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0080,Fusacandin analog 6j,fusacandin_derivative,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,12.5,active,active,retained,16.0256,True,1.2048,0.7411,6.1301,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0080,Fusacandin analog 6j,fusacandin_derivative,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,12.5,active,active,retained,16.0256,True,1.2048,0.7411,6.1301,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0080,Fusacandin analog 6j,fusacandin_derivative,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,12.5,active,active,retained,16.0256,True,1.2048,0.7411,6.1301,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0080,Fusacandin analog 6j,fusacandin_derivative,Candida albicans,ATCC 38247,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,25.0,active,active,retained,16.0256,True,1.2048,1.4823,5.8291,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0080,Fusacandin analog 6j,fusacandin_derivative,Candida albicans,ATCC 62376,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,12.5,active,active,retained,16.0256,True,1.2048,0.7411,6.1301,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0081,Fusacandin analog 6k,fusacandin_derivative,Candida albicans,ATCC 10231,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,1.56,12.5,active,active,retained,8.0128,True,0.9038,1.3824,5.8594,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0081,Fusacandin analog 6k,fusacandin_derivative,Candida albicans,579a,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,12.5,active,active,retained,16.0256,True,1.2048,0.6912,6.1604,Fusacandin A C-3 lipophilic side chain retained,
papulacandin,PAPU-0081,Fusacandin analog 6k,fusacandin_derivative,Candida albicans,CCH 442,PAPER-1996-YEUNG,strain_within_study,high,ug/mL,50% mouse serum,0.78,12.5,active,active,retained,16.0256,True,1.2048,0.6912,6.1604,Fusacandin A C-3 lipophilic side chain retained,
